MATERIAL_NUMBER,Order Count,ABC,PICK_FACE_NO_OF_LOC
ITM6342,11,C,1
ITM5430,11,C,1
ITM3335,11,C,1
ITM5900,11,C,1
ITM1342,11,C,1
ITM72,11,C,1
ITM2659,11,C,1
ITM5216,11,C,1
ITM733,11,C,1
ITM1903,11,C,1
ITM947,11,C,1
ITM347,11,C,1
ITM162,11,C,1
ITM6522,11,C,1
ITM5246,11,C,1
ITM5838,11,C,1
ITM6595,11,C,1
ITM937,11,C,1
ITM5654,11,C,1
ITM6250,11,C,1
ITM1868,11,C,1
ITM6336,11,C,1
ITM5840,11,C,1
ITM6363,10,C,1
ITM6132,10,C,1
ITM1732,10,C,1
ITM1194,10,C,1
ITM5563,10,C,1
ITM6260,10,C,1
ITM5895,10,C,1
ITM6007,10,C,1
ITM998,10,C,1
ITM1822,10,C,1
ITM1206,10,C,1
ITM5463,10,C,1
ITM2976,10,C,1
ITM6502,10,C,1
ITM6462,10,C,1
ITM3731,10,C,1
ITM5735,10,C,1
ITM3207,10,C,1
ITM4471,10,C,1
ITM1377,10,C,1
ITM6160,10,C,1
ITM5756,10,C,1
ITM839,10,C,1
ITM5971,10,C,1
ITM61,10,C,1
ITM6487,10,C,1
ITM1439,10,C,1
ITM2558,10,C,1
ITM5629,10,C,1
ITM5453,10,C,1
ITM5141,10,C,1
ITM6988,10,C,1
ITM612,10,C,1
ITM5213,10,C,1
ITM2291,10,C,1
ITM5068,10,C,1
ITM3364,10,C,1
ITM1369,10,C,1
ITM338,10,C,1
ITM2516,10,C,1
ITM6103,10,C,1
ITM6532,10,C,1
ITM451,10,C,1
ITM6176,10,C,1
ITM6340,10,C,1
ITM2227,10,C,1
ITM1974,10,C,1
ITM3757,10,C,1
ITM1537,10,C,1
ITM79,10,C,1
ITM5323,10,C,1
ITM5968,10,C,1
ITM6886,10,C,1
ITM6059,9,C,1
ITM5953,9,C,1
ITM5977,9,C,1
ITM5069,9,C,1
ITM6501,9,C,1
ITM1814,9,C,1
ITM5566,9,C,1
ITM294,9,C,1
ITM5550,9,C,1
ITM2513,9,C,1
ITM4466,9,C,1
ITM5040,9,C,1
ITM6223,9,C,1
ITM5293,9,C,1
ITM1966,9,C,1
ITM3390,9,C,1
ITM5201,9,C,1
ITM5731,9,C,1
ITM5298,9,C,1
ITM3759,9,C,1
ITM5597,9,C,1
ITM5814,9,C,1
ITM4116,9,C,1
ITM537,9,C,1
ITM5196,9,C,1
ITM5237,9,C,1
ITM6506,9,C,1
ITM5688,9,C,1
ITM6259,9,C,1
ITM42,9,C,1
ITM6277,9,C,1
ITM5481,9,C,1
ITM1397,9,C,1
ITM6512,9,C,1
ITM6000,9,C,1
ITM6547,9,C,1
ITM6775,9,C,1
ITM2309,9,C,1
ITM87,9,C,1
ITM938,9,C,1
ITM2667,9,C,1
ITM2387,9,C,1
ITM5858,9,C,1
ITM3268,9,C,1
ITM768,9,C,1
ITM5174,9,C,1
ITM6344,9,C,1
ITM1679,9,C,1
ITM5386,9,C,1
ITM6388,9,C,1
ITM6611,9,C,1
ITM6257,9,C,1
ITM6035,9,C,1
ITM3022,9,C,1
ITM6511,9,C,1
ITM2123,8,C,1
ITM6282,8,C,1
ITM6677,8,C,1
ITM5389,8,C,1
ITM5238,8,C,1
ITM160,8,C,1
ITM3076,8,C,1
ITM6714,8,C,1
ITM5291,8,C,1
ITM86,8,C,1
ITM2632,8,C,1
ITM363,8,C,1
ITM6004,8,C,1
ITM6666,8,C,1
ITM5917,8,C,1
ITM5874,8,C,1
ITM1862,8,C,1
ITM5365,8,C,1
ITM5788,8,C,1
ITM5661,8,C,1
ITM2161,8,C,1
ITM6529,8,C,1
ITM6413,8,C,1
ITM6755,8,C,1
ITM5881,8,C,1
ITM5570,8,C,1
ITM5391,8,C,1
ITM1606,8,C,1
ITM5678,8,C,1
ITM2854,8,C,1
ITM2515,8,C,1
ITM1157,8,C,1
ITM5447,8,C,1
ITM288,8,C,1
ITM388,8,C,1
ITM517,8,C,1
ITM3330,8,C,1
ITM5524,8,C,1
ITM2559,8,C,1
ITM6524,8,C,1
ITM6498,8,C,1
ITM5631,8,C,1
ITM5929,8,C,1
ITM5896,8,C,1
ITM6022,8,C,1
ITM6122,8,C,1
ITM670,8,C,1
ITM5944,8,C,1
ITM6441,8,C,1
ITM1255,8,C,1
ITM6149,8,C,1
ITM1762,8,C,1
ITM6019,8,C,1
ITM2206,8,C,1
ITM1821,8,C,1
ITM6525,8,C,1
ITM5930,8,C,1
ITM1684,8,C,1
ITM5590,8,C,1
ITM5868,8,C,1
ITM6744,8,C,1
ITM5495,8,C,1
ITM6222,8,C,1
ITM3237,8,C,1
ITM1362,8,C,1
ITM772,8,C,1
ITM6010,8,C,1
ITM6578,8,C,1
ITM1480,8,C,1
ITM3333,8,C,1
ITM2061,8,C,1
ITM4044,8,C,1
ITM1699,8,C,1
ITM3383,8,C,1
ITM501,8,C,1
ITM746,8,C,1
ITM5088,8,C,1
ITM5891,8,C,1
ITM6435,8,C,1
ITM997,8,C,1
ITM3241,8,C,1
ITM5278,8,C,1
ITM1415,7,C,1
ITM17,7,C,1
ITM5871,7,C,1
ITM5712,7,C,1
ITM5707,7,C,1
ITM5089,7,C,1
ITM1246,7,C,1
ITM6097,7,C,1
ITM3319,7,C,1
ITM5387,7,C,1
ITM6824,7,C,1
ITM6513,7,C,1
ITM2311,7,C,1
ITM5759,7,C,1
ITM6879,7,C,1
ITM1402,7,C,1
ITM5961,7,C,1
ITM6630,7,C,1
ITM2680,7,C,1
ITM6221,7,C,1
ITM6476,7,C,1
ITM5062,7,C,1
ITM5999,7,C,1
ITM6750,7,C,1
ITM5906,7,C,1
ITM249,7,C,1
ITM5118,7,C,1
ITM622,7,C,1
ITM6704,7,C,1
ITM5853,7,C,1
ITM6552,7,C,1
ITM5614,7,C,1
ITM505,7,C,1
ITM6703,7,C,1
ITM5198,7,C,1
ITM253,7,C,1
ITM6673,7,C,1
ITM6878,7,C,1
ITM5436,7,C,1
ITM1325,7,C,1
ITM5390,7,C,1
ITM2561,7,C,1
ITM5609,7,C,1
ITM68,7,C,1
ITM1423,7,C,1
ITM1640,7,C,1
ITM2369,7,C,1
ITM1288,7,C,1
ITM2785,7,C,1
ITM6542,7,C,1
ITM2570,7,C,1
ITM6541,7,C,1
ITM6273,7,C,1
ITM6527,7,C,1
ITM5606,7,C,1
ITM6528,7,C,1
ITM1975,7,C,1
ITM1251,7,C,1
ITM1195,7,C,1
ITM4192,7,C,1
ITM5942,7,C,1
ITM279,7,C,1
ITM1059,7,C,1
ITM3274,7,C,1
ITM6967,7,C,1
ITM5931,7,C,1
ITM5569,7,C,1
ITM6706,7,C,1
ITM769,7,C,1
ITM5862,7,C,1
ITM6278,7,C,1
ITM639,7,C,1
ITM3231,7,C,1
ITM1678,7,C,1
ITM6370,7,C,1
ITM6583,7,C,1
ITM6684,7,C,1
ITM1949,7,C,1
ITM6540,7,C,1
ITM5221,7,C,1
ITM6362,7,C,1
ITM6555,7,C,1
ITM863,7,C,1
ITM2051,6,C,1
ITM3141,6,C,1
ITM6535,6,C,1
ITM6628,6,C,1
ITM750,6,C,1
ITM4033,6,C,1
ITM2254,6,C,1
ITM2046,6,C,1
ITM5927,6,C,1
ITM5685,6,C,1
ITM5032,6,C,1
ITM1032,6,C,1
ITM5887,6,C,1
ITM5839,6,C,1
ITM6354,6,C,1
ITM2125,6,C,1
ITM5573,6,C,1
ITM5316,6,C,1
ITM6347,6,C,1
ITM5916,6,C,1
ITM1824,6,C,1
ITM2314,6,C,1
ITM5482,6,C,1
ITM5722,6,C,1
ITM5469,6,C,1
ITM5100,6,C,1
ITM6581,6,C,1
ITM5053,6,C,1
ITM2058,6,C,1
ITM379,6,C,1
ITM6623,6,C,1
ITM6799,6,C,1
ITM6805,6,C,1
ITM6105,6,C,1
ITM6989,6,C,1
ITM5258,6,C,1
ITM6530,6,C,1
ITM6361,6,C,1
ITM6148,6,C,1
ITM1538,6,C,1
ITM5941,6,C,1
ITM6492,6,C,1
ITM5256,6,C,1
ITM5669,6,C,1
ITM5308,6,C,1
ITM5560,6,C,1
ITM6539,6,C,1
ITM5684,6,C,1
ITM2090,6,C,1
ITM748,6,C,1
ITM6147,6,C,1
ITM2450,6,C,1
ITM5802,6,C,1
ITM5180,6,C,1
ITM2485,6,C,1
ITM6133,6,C,1
ITM6685,6,C,1
ITM909,6,C,1
ITM10,6,C,1
ITM1318,6,C,1
ITM2931,6,C,1
ITM5109,6,C,1
ITM5898,6,C,1
ITM6640,6,C,1
ITM536,6,C,1
ITM2288,6,C,1
ITM3348,6,C,1
ITM5856,6,C,1
ITM457,6,C,1
ITM1277,6,C,1
ITM476,6,C,1
ITM6538,6,C,1
ITM4150,6,C,1
ITM5123,6,C,1
ITM2453,6,C,1
ITM2098,6,C,1
ITM6407,6,C,1
ITM5576,6,C,1
ITM204,6,C,1
ITM827,6,C,1
ITM5863,6,C,1
ITM660,6,C,1
ITM6275,6,C,1
ITM1721,6,C,1
ITM3238,6,C,1
ITM3924,6,C,1
ITM6713,6,C,1
ITM5384,6,C,1
ITM6589,6,C,1
ITM4035,6,C,1
ITM5686,6,C,1
ITM6643,6,C,1
ITM4600,6,C,1
ITM5872,6,C,1
ITM5973,6,C,1
ITM582,6,C,1
ITM2934,6,C,1
ITM6771,6,C,1
ITM5674,6,C,1
ITM3621,6,C,1
ITM6159,6,C,1
ITM6254,6,C,1
ITM6170,6,C,1
ITM1857,6,C,1
ITM6823,6,C,1
ITM5964,6,C,1
ITM3331,6,C,1
ITM600,6,C,1
ITM234,6,C,1
ITM5441,6,C,1
ITM6034,6,C,1
ITM4095,6,C,1
ITM6551,6,C,1
ITM6636,6,C,1
ITM5479,6,C,1
ITM5265,6,C,1
ITM6680,5,C,1
ITM4066,5,C,1
ITM6481,5,C,1
ITM5204,5,C,1
ITM5591,5,C,1
ITM2208,5,C,1
ITM4092,5,C,1
ITM202,5,C,1
ITM4101,5,C,1
ITM5799,5,C,1
ITM5676,5,C,1
ITM5992,5,C,1
ITM5819,5,C,1
ITM6515,5,C,1
ITM1942,5,C,1
ITM2750,5,C,1
ITM662,5,C,1
ITM611,5,C,1
ITM5146,5,C,1
ITM2788,5,C,1
ITM1967,5,C,1
ITM6748,5,C,1
ITM2415,5,C,1
ITM375,5,C,1
ITM916,5,C,1
ITM6876,5,C,1
ITM3227,5,C,1
ITM5984,5,C,1
ITM1859,5,C,1
ITM5565,5,C,1
ITM325,5,C,1
ITM3897,5,C,1
ITM6067,5,C,1
ITM1164,5,C,1
ITM1792,5,C,1
ITM3350,5,C,1
ITM1126,5,C,1
ITM1513,5,C,1
ITM5734,5,C,1
ITM210,5,C,1
ITM559,5,C,1
ITM5491,5,C,1
ITM5634,5,C,1
ITM6536,5,C,1
ITM591,5,C,1
ITM2756,5,C,1
ITM6111,5,C,1
ITM5889,5,C,1
ITM181,5,C,1
ITM2739,5,C,1
ITM6945,5,C,1
ITM6612,5,C,1
ITM5381,5,C,1
ITM502,5,C,1
ITM5960,5,C,1
ITM6396,5,C,1
ITM5093,5,C,1
ITM5339,5,C,1
ITM6505,5,C,1
ITM2034,5,C,1
ITM5855,5,C,1
ITM6271,5,C,1
ITM5459,5,C,1
ITM5082,5,C,1
ITM2939,5,C,1
ITM2328,5,C,1
ITM5264,5,C,1
ITM5866,5,C,1
ITM5300,5,C,1
ITM1517,5,C,1
ITM3249,5,C,1
ITM5897,5,C,1
ITM2071,5,C,1
ITM2514,5,C,1
ITM6730,5,C,1
ITM2413,5,C,1
ITM5492,5,C,1
ITM6645,5,C,1
ITM282,5,C,1
ITM1759,5,C,1
ITM5884,5,C,1
ITM5888,5,C,1
ITM809,5,C,1
ITM1690,5,C,1
ITM5607,5,C,1
ITM6803,5,C,1
ITM5849,5,C,1
ITM5787,5,C,1
ITM5824,5,C,1
ITM2687,5,C,1
ITM5602,5,C,1
ITM5638,5,C,1
ITM6657,5,C,1
ITM6620,5,C,1
ITM5907,5,C,1
ITM36,5,C,1
ITM6658,5,C,1
ITM6694,5,C,1
ITM6785,5,C,1
ITM5955,5,C,1
ITM2301,5,C,1
ITM5588,5,C,1
ITM5531,5,C,1
ITM526,5,C,1
ITM6742,5,C,1
ITM6424,5,C,1
ITM2507,5,C,1
ITM2401,5,C,1
ITM4214,5,C,1
ITM6158,5,C,1
ITM463,5,C,1
ITM2964,5,C,1
ITM6115,5,C,1
ITM5429,5,C,1
ITM5253,5,C,1
ITM1724,5,C,1
ITM6140,5,C,1
ITM1006,5,C,1
ITM6456,5,C,1
ITM5061,5,C,1
ITM1449,5,C,1
ITM6457,5,C,1
ITM950,5,C,1
ITM804,5,C,1
ITM6747,5,C,1
ITM5818,5,C,1
ITM6700,5,C,1
ITM5117,5,C,1
ITM1512,5,C,1
ITM5179,5,C,1
ITM2560,5,C,1
ITM6002,5,C,1
ITM6743,5,C,1
ITM6072,5,C,1
ITM49,5,C,1
ITM729,4,C,1
ITM2117,4,C,1
ITM6451,4,C,1
ITM5959,4,C,1
ITM3159,4,C,1
ITM523,4,C,1
ITM372,4,C,1
ITM1451,4,C,1
ITM6545,4,C,1
ITM5332,4,C,1
ITM6798,4,C,1
ITM2838,4,C,1
ITM5958,4,C,1
ITM2329,4,C,1
ITM566,4,C,1
ITM167,4,C,1
ITM6561,4,C,1
ITM507,4,C,1
ITM5795,4,C,1
ITM186,4,C,1
ITM1946,4,C,1
ITM6701,4,C,1
ITM5649,4,C,1
ITM4552,4,C,1
ITM6699,4,C,1
ITM1489,4,C,1
ITM2403,4,C,1
ITM6681,4,C,1
ITM779,4,C,1
ITM5405,4,C,1
ITM6746,4,C,1
ITM5535,4,C,1
ITM5965,4,C,1
ITM5555,4,C,1
ITM284,4,C,1
ITM6768,4,C,1
ITM6251,4,C,1
ITM1486,4,C,1
ITM5225,4,C,1
ITM2716,4,C,1
ITM1034,4,C,1
ITM6469,4,C,1
ITM6121,4,C,1
ITM6745,4,C,1
ITM6546,4,C,1
ITM5996,4,C,1
ITM2260,4,C,1
ITM6150,4,C,1
ITM5666,4,C,1
ITM1673,4,C,1
ITM1706,4,C,1
ITM5691,4,C,1
ITM5709,4,C,1
ITM2252,4,C,1
ITM6070,4,C,1
ITM6929,4,C,1
ITM5811,4,C,1
ITM5540,4,C,1
ITM1490,4,C,1
ITM6227,4,C,1
ITM5923,4,C,1
ITM6373,4,C,1
ITM6295,4,C,1
ITM739,4,C,1
ITM1969,4,C,1
ITM1908,4,C,1
ITM460,4,C,1
ITM568,4,C,1
ITM6036,4,C,1
ITM6883,4,C,1
ITM6622,4,C,1
ITM1718,4,C,1
ITM5675,4,C,1
ITM98,4,C,1
ITM6787,4,C,1
ITM6584,4,C,1
ITM858,4,C,1
ITM2505,4,C,1
ITM5577,4,C,1
ITM1252,4,C,1
ITM1657,4,C,1
ITM2627,4,C,1
ITM6406,4,C,1
ITM3247,4,C,1
ITM3211,4,C,1
ITM6439,4,C,1
ITM233,4,C,1
ITM2573,4,C,1
ITM6741,4,C,1
ITM5681,4,C,1
ITM5247,4,C,1
ITM1159,4,C,1
ITM1642,4,C,1
ITM5975,4,C,1
ITM5130,4,C,1
ITM1558,4,C,1
ITM5312,4,C,1
ITM6754,4,C,1
ITM5410,4,C,1
ITM1291,4,C,1
ITM3739,4,C,1
ITM6574,4,C,1
ITM5063,4,C,1
ITM1382,4,C,1
ITM1438,4,C,1
ITM1437,4,C,1
ITM5683,4,C,1
ITM5541,4,C,1
ITM6119,4,C,1
ITM6100,4,C,1
ITM3945,4,C,1
ITM6258,4,C,1
ITM2152,4,C,1
ITM5913,4,C,1
ITM4188,4,C,1
ITM5275,4,C,1
ITM6576,4,C,1
ITM1400,4,C,1
ITM4570,4,C,1
ITM6168,4,C,1
ITM6554,4,C,1
ITM5054,4,C,1
ITM926,4,C,1
ITM1617,4,C,1
ITM5267,4,C,1
ITM5037,4,C,1
ITM5248,4,C,1
ITM5768,4,C,1
ITM2984,4,C,1
ITM5366,4,C,1
ITM765,4,C,1
ITM6783,4,C,1
ITM630,4,C,1
ITM6683,4,C,1
ITM2092,4,C,1
ITM6764,4,C,1
ITM5543,4,C,1
ITM5976,4,C,1
ITM6672,4,C,1
ITM340,4,C,1
ITM4087,4,C,1
ITM6761,4,C,1
ITM2154,4,C,1
ITM246,4,C,1
ITM5963,4,C,1
ITM6560,4,C,1
ITM2452,4,C,1
ITM6952,4,C,1
ITM6404,4,C,1
ITM3858,4,C,1
ITM5060,4,C,1
ITM752,4,C,1
ITM312,4,C,1
ITM6238,4,C,1
ITM5755,4,C,1
ITM6009,4,C,1
ITM5534,4,C,1
ITM2770,4,C,1
ITM1688,4,C,1
ITM567,4,C,1
ITM5820,4,C,1
ITM5910,4,C,1
ITM2693,4,C,1
ITM6030,4,C,1
ITM598,4,C,1
ITM6671,4,C,1
ITM4205,4,C,1
ITM6499,4,C,1
ITM5051,4,C,1
ITM5595,4,C,1
ITM5708,4,C,1
ITM1683,4,C,1
ITM5085,4,C,1
ITM3170,4,C,1
ITM2747,4,C,1
ITM5144,4,C,1
ITM2781,4,C,1
ITM4117,4,C,1
ITM6959,4,C,1
ITM6749,4,C,1
ITM5752,4,C,1
ITM6386,4,C,1
ITM5380,4,C,1
ITM5882,4,C,1
ITM235,4,C,1
ITM6617,4,C,1
ITM556,4,C,1
ITM521,3,C,1
ITM2774,3,C,1
ITM5823,3,C,1
ITM6993,3,C,1
ITM5411,3,C,1
ITM2399,3,C,1
ITM4124,3,C,1
ITM40,3,C,1
ITM2746,3,C,1
ITM6709,3,C,1
ITM3218,3,C,1
ITM5036,3,C,1
ITM95,3,C,1
ITM5537,3,C,1
ITM3939,3,C,1
ITM6299,3,C,1
ITM5371,3,C,1
ITM1539,3,C,1
ITM5462,3,C,1
ITM3697,3,C,1
ITM6360,3,C,1
ITM2504,3,C,1
ITM3259,3,C,1
ITM6553,3,C,1
ITM5718,3,C,1
ITM6786,3,C,1
ITM6757,3,C,1
ITM1363,3,C,1
ITM2475,3,C,1
ITM820,3,C,1
ITM948,3,C,1
ITM170,3,C,1
ITM5730,3,C,1
ITM5355,3,C,1
ITM6556,3,C,1
ITM5079,3,C,1
ITM5945,3,C,1
ITM38,3,C,1
ITM5556,3,C,1
ITM490,3,C,1
ITM6518,3,C,1
ITM3762,3,C,1
ITM5843,3,C,1
ITM5554,3,C,1
ITM2009,3,C,1
ITM5372,3,C,1
ITM3204,3,C,1
ITM2631,3,C,1
ITM6074,3,C,1
ITM5456,3,C,1
ITM5245,3,C,1
ITM6297,3,C,1
ITM6880,3,C,1
ITM6873,3,C,1
ITM5066,3,C,1
ITM5498,3,C,1
ITM6544,3,C,1
ITM2361,3,C,1
ITM3853,3,C,1
ITM5615,3,C,1
ITM3949,3,C,1
ITM6619,3,C,1
ITM6403,3,C,1
ITM6825,3,C,1
ITM592,3,C,1
ITM3922,3,C,1
ITM5713,3,C,1
ITM668,3,C,1
ITM6243,3,C,1
ITM4424,3,C,1
ITM5538,3,C,1
ITM2851,3,C,1
ITM5475,3,C,1
ITM3791,3,C,1
ITM6200,3,C,1
ITM5979,3,C,1
ITM6023,3,C,1
ITM3186,3,C,1
ITM5103,3,C,1
ITM3201,3,C,1
ITM5239,3,C,1
ITM6759,3,C,1
ITM3764,3,C,1
ITM5342,3,C,1
ITM5915,3,C,1
ITM2824,3,C,1
ITM5021,3,C,1
ITM6751,3,C,1
ITM2259,3,C,1
ITM6104,3,C,1
ITM775,3,C,1
ITM6668,3,C,1
ITM6376,3,C,1
ITM2894,3,C,1
ITM3385,3,C,1
ITM5420,3,C,1
ITM4550,3,C,1
ITM6101,3,C,1
ITM5122,3,C,1
ITM5262,3,C,1
ITM6491,3,C,1
ITM5038,3,C,1
ITM6842,3,C,1
ITM6686,3,C,1
ITM6789,3,C,1
ITM6228,3,C,1
ITM5241,3,C,1
ITM3049,3,C,1
ITM587,3,C,1
ITM4056,3,C,1
ITM6108,3,C,1
ITM5172,3,C,1
ITM5251,3,C,1
ITM7000,3,C,1
ITM3414,3,C,1
ITM3944,3,C,1
ITM303,3,C,1
ITM3362,3,C,1
ITM6037,3,C,1
ITM5885,3,C,1
ITM565,3,C,1
ITM2912,3,C,1
ITM952,3,C,1
ITM6459,3,C,1
ITM666,3,C,1
ITM5383,3,C,1
ITM3875,3,C,1
ITM5404,3,C,1
ITM819,3,C,1
ITM2717,3,C,1
ITM4529,3,C,1
ITM6549,3,C,1
ITM6024,3,C,1
ITM6486,3,C,1
ITM5717,3,C,1
ITM2863,3,C,1
ITM4022,3,C,1
ITM6605,3,C,1
ITM6826,3,C,1
ITM3209,3,C,1
ITM3814,3,C,1
ITM1544,3,C,1
ITM5363,3,C,1
ITM5388,3,C,1
ITM5050,3,C,1
ITM6772,3,C,1
ITM197,3,C,1
ITM5368,3,C,1
ITM730,3,C,1
ITM3248,3,C,1
ITM6837,3,C,1
ITM6455,3,C,1
ITM551,3,C,1
ITM1586,3,C,1
ITM5943,3,C,1
ITM4078,3,C,1
ITM5126,3,C,1
ITM5950,3,C,1
ITM6802,3,C,1
ITM6225,3,C,1
ITM3363,3,C,1
ITM6268,3,C,1
ITM56,3,C,1
ITM6232,3,C,1
ITM2959,3,C,1
ITM5408,3,C,1
ITM984,3,C,1
ITM6557,3,C,1
ITM511,3,C,1
ITM6627,3,C,1
ITM923,3,C,1
ITM1440,3,C,1
ITM927,3,C,1
ITM1840,3,C,1
ITM5290,3,C,1
ITM1820,3,C,1
ITM302,3,C,1
ITM6368,3,C,1
ITM2442,3,C,1
ITM724,3,C,1
ITM5195,3,C,1
ITM6829,3,C,1
ITM100,3,C,1
ITM2720,3,C,1
ITM7004,3,C,1
ITM5134,3,C,1
ITM53,3,C,1
ITM5464,3,C,1
ITM5426,3,C,1
ITM6613,3,C,1
ITM1841,3,C,1
ITM671,3,C,1
ITM3075,3,C,1
ITM6600,3,C,1
ITM5589,3,C,1
ITM5562,3,C,1
ITM5330,3,C,1
ITM6813,3,C,1
ITM6490,3,C,1
ITM2672,3,C,1
ITM2116,3,C,1
ITM6872,3,C,1
ITM5440,3,C,1
ITM800,3,C,1
ITM6947,3,C,1
ITM5101,3,C,1
ITM2115,3,C,1
ITM1444,3,C,1
ITM6397,3,C,1
ITM5703,3,C,1
ITM310,3,C,1
ITM1247,3,C,1
ITM5558,3,C,1
ITM5978,3,C,1
ITM248,3,C,1
ITM1262,3,C,1
ITM6575,3,C,1
ITM6606,3,C,1
ITM5017,3,C,1
ITM5052,3,C,1
ITM2604,3,C,1
ITM6027,3,C,1
ITM6653,3,C,1
ITM6631,3,C,1
ITM669,3,C,1
ITM6814,3,C,1
ITM2119,3,C,1
ITM616,3,C,1
ITM936,3,C,1
ITM3202,3,C,1
ITM912,3,C,1
ITM6537,3,C,1
ITM1524,3,C,1
ITM6637,3,C,1
ITM1819,3,C,1
ITM2278,3,C,1
ITM1289,3,C,1
ITM3060,3,C,1
ITM844,3,C,1
ITM6308,3,C,1
ITM241,3,C,1
ITM5983,3,C,1
ITM5619,3,C,1
ITM5409,3,C,1
ITM985,3,C,1
ITM5471,3,C,1
ITM1898,3,C,1
ITM4476,3,C,1
ITM5974,3,C,1
ITM3291,3,C,1
ITM5724,3,C,1
ITM3620,3,C,1
ITM6840,3,C,1
ITM6665,3,C,1
ITM5335,3,C,1
ITM3181,3,C,1
ITM6303,3,C,1
ITM6774,3,C,1
ITM6378,3,C,1
ITM5952,3,C,1
ITM6003,3,C,1
ITM6646,3,C,1
ITM6169,3,C,1
ITM6446,3,C,1
ITM1860,3,C,1
ITM4094,3,C,1
ITM3935,3,C,1
ITM277,3,C,1
ITM6779,2,C,1
ITM943,2,C,1
ITM6375,2,C,1
ITM7002,2,C,1
ITM6780,2,C,1
ITM6383,2,C,1
ITM6494,2,C,1
ITM6233,2,C,1
ITM5601,2,C,1
ITM5452,2,C,1
ITM4473,2,C,1
ITM5886,2,C,1
ITM4032,2,C,1
ITM6663,2,C,1
ITM854,2,C,1
ITM1988,2,C,1
ITM5193,2,C,1
ITM2922,2,C,1
ITM3737,2,C,1
ITM6184,2,C,1
ITM5582,2,C,1
ITM6722,2,C,1
ITM5378,2,C,1
ITM6649,2,C,1
ITM6932,2,C,1
ITM1973,2,C,1
ITM4149,2,C,1
ITM1790,2,C,1
ITM5798,2,C,1
ITM6414,2,C,1
ITM2839,2,C,1
ITM89,2,C,1
ITM5605,2,C,1
ITM3943,2,C,1
ITM6731,2,C,1
ITM2784,2,C,1
ITM1316,2,C,1
ITM4077,2,C,1
ITM2679,2,C,1
ITM4256,2,C,1
ITM2151,2,C,1
ITM5458,2,C,1
ITM1384,2,C,1
ITM5340,2,C,1
ITM5785,2,C,1
ITM5114,2,C,1
ITM3878,2,C,1
ITM1968,2,C,1
ITM6693,2,C,1
ITM5445,2,C,1
ITM6185,2,C,1
ITM5859,2,C,1
ITM5083,2,C,1
ITM2864,2,C,1
ITM3864,2,C,1
ITM3950,2,C,1
ITM6978,2,C,1
ITM5947,2,C,1
ITM2691,2,C,1
ITM6205,2,C,1
ITM6339,2,C,1
ITM6493,2,C,1
ITM5966,2,C,1
ITM5382,2,C,1
ITM6127,2,C,1
ITM3735,2,C,1
ITM6106,2,C,1
ITM5175,2,C,1
ITM3281,2,C,1
ITM5902,2,C,1
ITM344,2,C,1
ITM2630,2,C,1
ITM4546,2,C,1
ITM5145,2,C,1
ITM3123,2,C,1
ITM6652,2,C,1
ITM1971,2,C,1
ITM3230,2,C,1
ITM4587,2,C,1
ITM5217,2,C,1
ITM1719,2,C,1
ITM5098,2,C,1
ITM849,2,C,1
ITM6252,2,C,1
